SENDAI 仙台(SDJ)
SEATTLE 西雅图(SEA)
SEOUL 汉城(SEL)
SANFRANCISCO 旧金山(SFO)
SUBICBAY 苏比克湾(SFS)
HOCHIMINHCITY 胡志明市(SGN)
SHANGHAIHONGQIAO 上海虹桥(SHA)
SHENYANG 沈阳(SHE)
SHARJAH 沙加(SHJ)
QINGHUANGDAO 秦皇岛(SHP)
SHASHI 沙市(SHS)
XIAN 西安(SIA)
SINGAPORE 新加坡(SIN)
SHIJIAZHUANG 石家庄(SJW)
SAPPORO 札幌(SPK)
STOCKHOLM 斯德哥尔摩(STO)
EKATERINBURG 叶卡捷琳堡(SVX)
SHANTOU 汕头(SWA)
SHANSHAN 鄯善(SXJ)
SYDNEY 悉尼(SYD)
PUERSIMAO 普洱思茅(SYM)
SANYA 三亚(SYX)
SUZHOU 苏州(SZV)
SHENZHEN 深圳(SZX)
TAEGU 大丘(TAE)
QINGDAO 青岛(TAO)
TASHKENT 塔什干(TAS)
TACHENG 塔城(TCG)
TONGREN 铜仁(TEN)
TONGLIAO 通辽(TGO)
JINAN 济南(TNA)
TONGHUA 通化(TNH)
TAINAN 台南(TNN)
TIANSHUI 天水(TNS)
TONGREN 铜仁(TON)
TOYAMA 富山(TOY)
TAIBEI 台北(TPE)
TIANJIN 天津(TSN)
TAIDONG 台东(TTT)
TAIZHONG 台中(TXG)
HUANGSHANG 黄山(TXN)
TAIYUAN 太原(TYN)
TOKYO 东京(TYO)
ULAANBAATAR 乌兰巴托(ULN)
URUMQI 乌鲁木齐(URC)
YULINYUYANG 榆林榆阳机场(UYN)
VIENNA 维也纳(VIE)
VIENTIANE 万象(VTE)
VLADIVOSTOK 符拉迪沃斯托克(VVO)
WEIFANG 潍坊(WEF)
WEIHAI 威海(WEH)
WUHU 芜湖(WHU)
WENSHAN 文山(WNH)
WENZHOU 温州(WNZ)
WUHAI 乌海(WUA)
WUHAN 武汉(WUH)
WUYISHAN 武夷山(WUS)
WUXI 无锡(WUX)
WUZHOU 梧州(WUZ)
WANXIAN 万州(WXN)
XINGCHENG 兴城(XEN)
XIANGFAN 襄樊(XFN)
XICHANG 西昌(XIC)
XILINHOT 锡林浩特(XIL)
XINGNING 兴宁(XIN)
XIANXIANYANG 西安咸阳(XIY)
XIAMEN 厦门(XMN)
XINING 西宁(XNN)
XINGTAI 邢台(XNT)
XUZHOU 徐州(XUZ)
YIBIN 宜宾(YBP)
YUCHENG 运城(YCU)
YICHANG 宜昌(YIH)
YINING 伊宁(YIN)
YIWU 义乌(YIW)
YILAN 铱兰(YLN)
YANJI 延吉(YNJ)
YANTAI 烟台(YNT)
YANCHENG 盐城(YNZ)
YONGZHOU 永州(YON)
YUANMOU 元谋(YUA)
VANCOUVER 温哥华(YVR)
ZHAOTONG 昭通(ZAT)
ZHANJIANG 湛江(ZHA)
ZHONGDIAN 中甸(ZHD)
ZURICH 苏黎士(ZRH)
ZHUHAI 珠海(ZUH)
ZUNYI 遵义(ZYI)
